代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="600982"	宁波热电	10.08	7.10	0.65	7.10	--  	1002145	20	          0.00	         23.86	6.72	7.10	6.72	6.45	    27.40	702809728	  4.65	供气供热	浙江	 5.89	7.01	474250	527895	  0.90	31728	0	--  	      42000.00	
="600715"	松辽汽车	10.03	17.22	1.57	17.22	--  	134215	10	          0.00	          5.98	17.22	17.22	17.22	15.65	--  	231118400	 26.63	汽车配件	辽宁	 0.00	17.22	110641	23574	  4.69	104830	0	--  	      22425.59	
="300063"	天龙集团	10.03	11.41	1.04	11.41	--  	156830	47	          0.00	         13.79	10.52	11.41	10.40	10.37	   506.50	176050240	  1.87	染料涂料	广东	 9.74	11.23	74923	81907	  0.91	1723	0	--  	      11374.65	
="002581"	万昌科技	10.01	24.39	2.22	24.39	--  	952	2	          0.00	          0.08	24.39	24.39	24.39	22.17	    33.55	2322538	  0.06	化工原料	山东	 0.00	24.39	915	37	 24.73	71627	0	--  	      11314.66	
="600255"	鑫科材料	10.01	12.75	1.16	12.74	12.75	1117554	524	          0.15	         24.86	12.00	12.75	11.66	11.59	   143.61	1360589056	 18.26	铜	安徽	 9.40	12.17	410595	706959	  0.58	1348	30048	--  	      44950.00	
="002569"	步森股份	9.99	15.08	1.37	15.08	--  	2748	28	          0.00	          0.20	15.08	15.08	15.08	13.71	   129.07	4144240	  0.22	服饰	浙江	 0.00	15.08	2436	312	  7.81	50088	0	--  	      13788.37	
="000692"	惠天热电	9.98	4.74	0.43	4.74	--  	978742	2306	          0.00	         18.37	4.29	4.74	4.27	4.31	    24.70	459568768	  5.25	供气供热	辽宁	10.90	4.70	556231	422511	  1.32	19146	0	--  	      53278.89	
="600666"	西南药业	9.19	20.19	1.70	20.26	20.27	572868	474	          1.91	         19.74	18.55	20.27	18.07	18.49	   112.15	1098635264	  1.94	化学制药	重庆	11.90	19.18	257709	315159	  0.82	92	30	--  	      29014.63	
="002040"	南 京 港	8.36	9.20	0.71	9.20	9.21	278298	5049	          0.32	         11.32	8.37	9.34	8.37	8.49	   108.23	248396336	  2.71	港口	江苏	11.43	8.93	112917	165381	  0.68	4487	480	--  	      24587.19	
="000009"	中国宝安	7.04	13.54	0.89	13.53	13.54	1437147	23123	         -0.44	          9.65	12.59	13.75	12.47	12.65	    44.28	1877899648	  1.37	全国地产	深圳	10.12	13.07	650999	786148	  0.83	836	7104	--  	     148966.91	
="000566"	海南海药	6.83	15.65	1.00	15.64	15.65	159006	907	          0.90	          3.36	14.67	15.77	14.67	14.65	    40.70	244251536	  3.10	化学制药	海南	 7.51	15.36	56171	102835	  0.55	24	609	--  	      47339.57	
="001696"	宗申动力	6.03	5.63	0.32	5.62	5.63	404668	6621	          0.35	          4.54	5.30	5.68	5.29	5.31	    16.18	224299856	  1.86	摩托车	重庆	 7.34	5.54	164616	240052	  0.69	3053	2642	--  	      89213.47	
="002273"	水晶光电	5.72	21.61	1.17	21.61	21.62	430779	4176	          0.18	         12.83	20.48	22.45	20.48	20.44	    67.03	925921344	  2.61	元器件	浙江	 9.64	21.49	196686	234093	  0.84	25	680	--  	      33580.87	
="000761"	本钢板材	5.47	6.75	0.35	6.75	6.76	135510	3915	         -0.14	          0.50	6.39	6.79	6.05	6.40	    60.86	87671048	  1.30	钢加工	辽宁	11.56	6.47	58249	77261	  0.75	617	2666	--  	     273600.00	
="600829"	三精制药	4.43	8.25	0.35	8.25	8.26	162943	96	         -0.12	          2.81	7.86	8.45	7.84	7.90	    35.44	133017352	  2.37	化学制药	黑龙江	 7.72	8.16	58723	104220	  0.56	373	25	--  	      57988.85	
="300163"	先锋新材	4.34	12.03	0.50	12.03	12.04	104856	798	          0.24	         11.01	11.53	12.50	11.45	11.53	    60.04	126398912	  2.80	其他建材	浙江	 9.11	12.05	50418	54438	  0.93	127	538	--  	       9525.91	
="600900"	长江电力	4.23	7.40	0.30	7.39	7.40	614259	40	         -0.26	          0.63	7.24	7.78	7.24	7.10	    47.98	458930720	  2.97	水力发电	北京	 7.61	7.47	260875	353384	  0.74	441	16	--  	     974594.13	
="002035"	华帝股份	4.22	11.36	0.46	11.36	11.37	167415	1389	          0.26	          5.95	10.98	11.60	10.91	10.90	    22.11	188848048	  3.14	家用电器	广东	 6.33	11.28	61945	105470	  0.59	334	785	--  	      28125.52	
="600560"	金自天正	4.18	12.20	0.49	12.16	12.18	209641	1	          0.32	          9.37	11.54	12.50	11.44	11.71	    71.52	248030672	  1.29	电气设备	北京	 9.05	11.83	93992	115649	  0.81	201	294	--  	      22364.55	
="000862"	银星能源	3.44	8.11	0.27	8.11	8.12	213043	4845	          0.87	          7.53	7.80	8.46	7.71	7.84	--  	173040704	  2.11	电器仪表	宁夏	 9.57	8.12	106128	106915	  0.99	74	647	--  	      28306.80	
="000850"	华茂股份	3.44	5.11	0.17	5.11	5.12	148921	44328	          5.57	          1.58	4.93	5.11	4.82	4.94	    69.68	73960016	  1.78	纺织	安徽	 5.87	4.97	70096	78825	  0.89	290	670	--  	      94315.34	
="600516"	方大炭素	3.23	11.18	0.35	11.19	11.20	827252	1652	          0.17	          4.81	10.76	11.27	10.75	10.83	    37.18	913206080	  1.58	矿物制品	甘肃	 4.80	11.04	352140	475112	  0.74	532	10903	--  	     171916.03	
="002037"	久联发展	3.10	12.65	0.38	12.65	12.66	275318	1430	         -0.23	          8.41	12.60	13.45	12.60	12.27	    45.11	356318976	  2.14	化工原料	贵州	 6.93	12.94	143715	131603	  1.09	7	331	--  	      32736.82	
