代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002569"	步森股份	6.57	11.68	0.72	11.68	11.69	64903	1160	         -0.25	         14.75	11.05	12.04	10.81	10.96	    90.75	74872472	  2.97	服饰	浙江	11.22	
="600861"	北京城乡	5.40	9.57	0.49	9.58	9.59	126962	39	         -0.20	          4.01	9.13	9.85	9.02	9.08	    32.59	119840344	  1.86	百货	北京	 9.14	
="000023"	深天地Ａ	5.38	9.59	0.49	9.56	9.59	23732	386	          0.41	          1.71	9.10	9.59	9.06	9.10	    75.27	22355474	  1.59	建筑施工	深圳	 5.82	
="002282"	博深工具	4.07	9.72	0.38	9.72	9.73	152674	1385	          0.20	         13.37	9.24	10.15	9.23	9.34	    46.23	148594048	  1.67	轻工机械	河北	 9.85	
="600346"	大橡塑	4.05	8.74	0.34	8.75	8.76	68363	86	         -0.45	          3.26	8.43	8.89	8.33	8.40	   273.28	58904376	  1.15	化工机械	辽宁	 6.67	
="002533"	金杯电工	3.91	7.44	0.28	7.43	7.44	85571	1384	          0.26	          2.79	7.16	7.47	7.12	7.16	    24.50	62995168	  2.11	电气设备	湖南	 4.89	
="600552"	方兴科技	3.73	23.64	0.85	23.63	23.65	27593	22	          0.25	          1.57	22.86	23.65	22.50	22.79	    39.07	63960888	  1.72	玻璃	安徽	 5.05	
="002552"	宝鼎重工	3.42	13.29	0.44	13.29	13.30	34930	517	          0.00	          4.15	12.82	13.46	12.75	12.85	   161.18	46053484	  0.94	机械基件	浙江	 5.53	
="600879"	航天电子	3.35	10.79	0.35	10.80	10.81	276680	90	          0.09	          2.66	10.37	10.94	10.34	10.44	    48.71	297411392	  0.54	航空航天	湖北	 5.75	
="002563"	森马服饰	3.17	31.88	0.98	31.86	31.88	13844	303	          0.09	          0.23	30.84	32.20	30.84	30.90	    23.68	43570468	  1.37	服饰	浙江	 4.40	
="002457"	青龙管业	2.86	9.36	0.26	9.35	9.36	169113	1898	          0.10	          8.92	9.10	9.49	9.05	9.10	    30.48	156943024	  1.95	塑料	宁夏	 4.84	
="002130"	沃尔核材	2.85	9.03	0.25	9.02	9.03	610230	5513	          0.00	         17.61	9.00	9.13	8.71	8.78	    62.02	543823296	  2.13	电气设备	深圳	 4.78	
="000782"	美达股份	2.32	4.86	0.11	4.84	4.86	27573	716	          0.62	          0.78	4.78	4.86	4.73	4.75	   188.20	13262611	  0.90	化纤	广东	 2.74	
="002295"	精艺股份	2.01	7.11	0.14	7.10	7.11	83226	569	          0.28	          4.59	6.90	7.16	6.83	6.97	   420.96	58830640	  1.71	铜	广东	 4.73	
="600452"	涪陵电力	1.98	11.31	0.22	11.28	11.29	26694	496	         -0.70	          1.67	11.14	11.48	11.05	11.09	    33.42	29990012	  1.25	火力发电	重庆	 3.88	
="002659"	中泰桥梁	1.67	6.09	0.10	6.09	6.10	191103	5397	          0.00	         13.14	5.99	6.10	5.85	5.99	   344.92	113906720	  1.32	建筑施工	江苏	 4.17	
="002513"	蓝丰生化	1.61	10.75	0.17	10.75	10.76	31898	161	          0.18	          1.50	10.62	10.95	10.53	10.58	    63.93	34433264	  0.84	农药化肥	江苏	 3.97	
="600378"	天科股份	1.42	12.85	0.18	12.87	12.88	52450	208	          0.46	          1.76	12.57	13.03	12.56	12.67	    51.17	67133672	  1.02	化工原料	四川	 3.71	
="600992"	贵绳股份	1.37	7.42	0.10	7.42	7.43	37422	60	         -0.40	          2.28	7.41	7.60	7.38	7.32	    92.72	28086434	  1.34	钢加工	贵州	 3.01	
="600960"	渤海活塞	1.33	8.40	0.11	8.40	8.41	30592	10	         -0.23	          1.45	8.29	8.45	8.24	8.29	    31.77	25616964	  1.47	汽车配件	山东	 2.53	
="000078"	海王生物	1.10	8.28	0.09	8.27	8.28	131582	1761	          0.24	          2.02	8.20	8.32	8.10	8.19	    77.74	108133512	  0.62	生物制药	深圳	 2.69	
="002040"	南 京 港	0.97	6.22	0.06	6.22	6.24	24180	262	         -0.32	          0.98	6.13	6.30	6.10	6.16	    51.28	15081422	  1.77	港口	江苏	 3.25	
="002201"	九鼎新材	0.96	8.44	0.08	8.43	8.44	28052	733	          0.11	          1.68	8.35	8.48	8.31	8.36	   171.61	23568052	  1.23	玻璃	江苏	 2.03	
="000759"	中百集团	0.92	7.69	0.07	7.68	7.69	22464	168	          0.13	          0.33	7.62	7.79	7.59	7.62	    45.23	17361986	  0.45	超市连锁	湖北	 2.62	
="002082"	栋梁新材	0.86	8.23	0.07	8.22	8.23	21335	658	          0.00	          1.20	8.19	8.28	8.12	8.16	    20.10	17548280	  0.64	铝	浙江	 1.96	
="002387"	黑牛食品	0.82	9.85	0.08	9.84	9.85	34342	316	          0.00	          1.79	9.68	9.86	9.60	9.77	  1033.57	33471456	  1.01	软饮料	广东	 2.66	
="002343"	禾欣股份	0.66	9.18	0.06	9.17	9.18	27541	207	         -0.21	          2.23	9.12	9.30	9.05	9.12	    30.14	25343206	  1.22	塑料	浙江	 2.74	
="002265"	*ST西仪	0.62	8.17	0.05	8.17	8.18	32599	342	         -0.24	          1.15	8.10	8.48	8.04	8.12	--  	27067474	  1.19	汽车配件	云南	 5.42	
="600370"	三房巷	0.60	5.04	0.03	5.03	5.04	16719	153	          0.39	          0.52	4.99	5.06	4.96	5.01	    64.69	8381779	  0.93	纺织	江苏	 2.00	
="000912"	泸 天 化	0.38	5.31	0.02	5.30	5.31	54347	686	         -0.18	          2.03	5.30	5.38	5.23	5.29	--  	28730114	  0.79	农药化肥	四川	 2.84	
="002636"	金安国纪	0.22	9.18	0.02	9.18	9.19	38319	1063	         -0.10	          4.30	9.17	9.23	9.08	9.16	    70.10	35116816	  0.93	元器件	上海	 1.64	
="002172"	澳洋科技	0.19	5.30	0.01	5.29	5.30	159965	2280	          0.37	          2.99	5.17	5.38	5.13	5.29	   143.40	84250664	  1.15	化纤	江苏	 4.73	
="002066"	瑞泰科技	0.19	5.38	0.01	5.37	5.38	37069	221	          0.00	          1.61	5.35	5.46	5.33	5.37	--  	19962288	  0.84	其他建材	北京	 2.42	
="002228"	合兴包装	0.13	7.49	0.01	7.48	7.49	20662	399	          0.13	          0.59	7.47	7.53	7.35	7.48	    29.33	15406770	  0.75	广告包装	福建	 2.41	
数据来源:通达信
