代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="601999"	出版传媒	10.05	10.40	0.95	10.40	--  	590096	8	          0.00	         10.71	9.32	10.40	9.13	9.45	  1155.14	573072768	  2.73	出版业	辽宁	13.44	9.71	276196	313900	  0.88	46291	0	--  	      55091.46	
="600715"	松辽汽车	10.03	12.94	1.18	12.94	--  	5598	35	          0.00	          0.25	12.94	12.94	12.94	11.76	--  	7244058	  3.89	汽车配件	辽宁	 0.00	12.94	5346	252	 21.21	92960	0	--  	      22425.59	
="002581"	万昌科技	10.03	18.32	1.67	18.32	--  	436	2	          0.00	          0.04	18.32	18.32	18.32	16.65	    25.20	798807	  0.01	化工原料	山东	 0.00	18.32	329	107	  3.07	98563	0	--  	      11314.66	
="002550"	千红制药	10.02	23.05	2.10	23.05	--  	214403	466	          0.00	         10.61	21.44	23.05	21.44	20.95	    39.50	486687616	  9.31	生物制药	江苏	 7.68	22.70	89927	124476	  0.72	542	0	--  	      20209.35	
="600792"	云煤能源	10.02	10.98	1.00	10.98	--  	33926	30	          0.00	          2.69	10.98	10.98	10.98	9.98	  1901.04	37251812	  1.20	焦炭加工	云南	 0.00	10.98	30444	3482	  8.74	46717	0	--  	      12622.50	
="600476"	湘邮科技	10.01	17.59	1.60	17.59	--  	145035	5	          0.00	          9.00	16.80	17.59	16.20	15.99	--  	252929728	  1.05	软件服务	湖南	 8.69	17.44	81269	63766	  1.27	12288	0	--  	      16107.00	
="000612"	焦作万方	10.00	8.91	0.81	8.91	--  	35253	775	          0.00	          0.30	8.91	8.91	8.91	8.10	    49.92	31411126	  0.49	铝	河南	 0.00	8.91	31949	3304	  9.67	171690	0	--  	     116898.15	
="600595"	中孚实业	10.00	5.39	0.49	5.39	--  	518638	5	          0.00	          3.42	5.09	5.39	5.08	4.90	    32.97	275174176	  2.72	铝	河南	 6.33	5.31	318585	200053	  1.59	436709	0	--  	     151487.38	
="300024"	机器人	9.99	32.81	2.98	32.81	--  	439156	1901	          0.00	          6.93	30.77	32.81	30.16	29.83	    82.93	1380730112	  2.96	专用机械	辽宁	 8.88	31.44	219094	220062	  1.00	6140	0	--  	      63414.96	
="600701"	工大高新	9.98	5.62	0.51	5.62	--  	683007	16	          0.00	         13.69	5.17	5.62	5.12	5.11	--  	373155264	  3.95	综合类	黑龙江	 9.78	5.46	261607	421400	  0.62	306430	0	--  	      49878.19	
="600666"	西南药业	9.98	15.65	1.42	15.65	--  	21346	204	          0.00	          0.74	15.65	15.65	15.65	14.23	    86.93	33407524	  0.81	化学制药	重庆	 0.00	15.65	18892	2454	  7.70	174798	0	--  	      29014.63	
="300153"	科泰电源	9.98	14.00	1.27	14.00	--  	56767	3	          0.00	          3.55	12.70	14.00	12.68	12.73	   135.70	78452984	  2.66	电气设备	上海	10.37	13.82	21903	34864	  0.63	15969	0	--  	      15983.50	
="002225"	濮耐股份	8.99	7.76	0.64	7.75	7.76	374808	11494	         -0.89	          8.99	7.04	7.83	7.01	7.12	    35.02	274984128	  1.30	其他建材	河南	11.52	7.34	175192	199616	  0.88	1016	501	--  	      41690.42	
="600987"	航民股份	8.31	8.60	0.66	8.60	8.61	247520	61	          0.11	          3.90	7.98	8.73	7.91	7.94	    21.89	205759904	  2.74	纺织	浙江	10.33	8.31	106208	141312	  0.75	58	271	--  	      63531.00	
="002034"	美 欣 达	7.74	18.10	1.30	18.07	18.10	41069	900	          0.16	          6.82	16.67	18.27	16.67	16.80	   217.19	72809128	  2.76	纺织	浙江	 9.52	17.73	16195	24874	  0.65	163	361	--  	       6025.16	
="601188"	龙江交通	7.64	3.38	0.24	3.37	3.38	980084	16	          0.29	          8.08	3.40	3.45	3.16	3.14	    10.33	323664032	  4.74	路桥	黑龙江	 9.24	3.30	427996	552088	  0.78	768	879	--  	     121320.00	
="600386"	北巴传媒	7.35	10.52	0.72	10.52	10.53	275449	120	         -0.09	          6.83	9.80	10.65	9.80	9.80	    23.82	281058368	  2.27	公共交通	北京	 8.67	10.20	125535	149914	  0.84	51	89	--  	      40320.00	
="002468"	艾迪西	7.18	9.10	0.61	9.10	9.11	135281	1511	          0.00	          4.08	8.49	9.16	8.44	8.49	   165.55	120199560	  3.08	其他建材	浙江	 8.48	8.89	53065	82216	  0.65	182	439	--  	      33177.60	
="600266"	北京城建	6.91	9.28	0.60	9.27	9.28	372894	492	          0.10	          3.49	8.71	9.50	8.71	8.68	    14.06	337586944	  3.10	区域地产	北京	 9.10	9.05	183872	189022	  0.97	235	48	--  	     106704.00	
="600815"	厦工股份	6.81	4.86	0.31	4.86	4.87	448294	103	          0.41	          4.77	4.54	4.97	4.40	4.55	    49.34	212170928	  3.80	工程机械	福建	12.53	4.73	201476	246818	  0.82	165	865	--  	      93970.96	
="000529"	广弘控股	6.52	9.47	0.58	9.46	9.47	302937	2794	         -0.21	          5.34	8.79	9.78	8.71	8.89	    78.12	285102432	  1.69	食品	广东	12.04	9.41	133699	169238	  0.79	436	157	--  	      56719.78	
="000801"	四川九洲	6.50	18.69	1.14	18.68	18.69	144402	902	          0.21	          3.14	17.50	18.99	17.50	17.55	   154.82	262947280	  2.70	通信设备	四川	 8.49	18.21	39206	105196	  0.37	31	546	--  	      45988.44	
="600726"	华电能源	6.38	4.17	0.25	4.17	4.18	980509	124	         -0.95	         13.61	4.04	4.30	3.95	3.92	     6.94	401206080	  4.47	火力发电	黑龙江	 8.93	4.09	425092	555417	  0.77	11	1003	--  	      72058.04	
="000657"	中钨高新	6.12	14.56	0.84	14.55	14.56	79796	640	          0.06	          5.54	13.67	14.95	13.67	13.72	--  	113795632	  1.66	小金属	海南	 9.33	14.26	33696	46100	  0.73	58	33	--  	      14405.07	
