代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="601098"	中南传媒	0.07	14.26	0.01	14.26	14.28	120907	300	          0.21	          0.67	14.33	14.42	14.09	14.25	    26.83	172265520	  0.70	出版业	湖南	 2.32	
="600973"	宝胜股份	0.00	8.52	0.00	8.51	8.52	29901	17	          0.59	          0.73	8.48	8.61	8.38	8.52	    33.78	25365300	  0.47	电气设备	江苏	 2.70	
="600452"	涪陵电力	0.00	11.44	0.00	11.42	11.43	13710	1022	         -0.26	          0.86	11.42	11.59	11.35	11.44	    33.80	15672209	  0.75	火力发电	重庆	 2.10	
="600378"	天科股份	0.00	12.93	0.00	12.92	12.93	36034	1	          0.31	          1.21	12.90	12.98	12.61	12.93	    51.49	46085504	  0.69	化工原料	四川	 2.86	
="300138"	晨光生物	0.00	9.44	0.00	9.43	9.45	26411	196	         -0.21	          2.34	9.41	9.57	9.37	9.44	   161.53	24975048	  0.53	食品	河北	 2.12	
="300135"	宝利沥青	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.45	    35.73	0	  0.00	化工原料	江苏	 0.00	
="002633"	申科股份	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.29	--  	0	  0.00	机械基件	浙江	 0.00	
="002407"	多氟多	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.30	   275.27	0	  0.00	化工原料	河南	 0.00	
="002335"	科华恒盛	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.88	    37.54	0	  0.00	电气设备	福建	 0.00	
="002290"	禾盛新材	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.50	    73.72	0	  0.00	家用电器	江苏	 0.00	
="002088"	鲁阳股份	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.83	    27.84	0	  0.00	矿物制品	山东	 0.00	
="002039"	黔源电力	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.91	--  	0	  0.00	水力发电	贵州	 0.00	
="000982"	中银绒业	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.79	    26.21	0	  0.00	纺织	宁夏	 0.00	
="000421"	南京中北	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.67	    24.70	0	  0.00	公共交通	江苏	 0.00	
="002630"	华西能源	-0.09	31.92	-0.03	31.91	31.92	15024	280	          0.00	          1.56	31.67	32.46	31.50	31.95	    49.79	47911224	  0.38	专用机械	四川	 3.00	
="002678"	珠江钢琴	-0.11	8.98	-0.01	8.97	8.98	71199	598	          0.00	          4.69	9.03	9.29	8.89	8.99	    43.70	64903884	  0.94	文教休闲	广东	 4.45	
="002491"	通鼎光电	-0.13	15.88	-0.02	15.88	15.89	18356	29	          0.25	          0.73	15.81	16.10	15.80	15.90	    20.01	29239336	  0.75	通信设备	江苏	 1.89	
="002563"	森马服饰	-0.16	31.75	-0.05	31.51	31.75	3881	293	          0.69	          0.07	31.77	31.79	31.15	31.80	    23.58	12231962	  0.36	服饰	浙江	 2.01	
="300174"	元力股份	-0.17	11.67	-0.02	11.67	11.68	18149	626	          0.00	          2.77	11.65	11.88	11.55	11.69	   293.04	21259232	  1.01	化工原料	福建	 2.82	
="600558"	大西洋	-0.24	8.44	-0.02	8.41	8.45	10914	19	          0.47	          0.53	8.46	8.52	8.38	8.46	    64.94	9206754	  0.56	钢加工	四川	 1.65	
="600960"	渤海活塞	-0.24	8.25	-0.02	8.24	8.25	10580	180	         -0.36	          0.50	8.27	8.35	8.23	8.27	    31.20	8747741	  0.45	汽车配件	山东	 1.45	
="002597"	金禾实业	-0.29	10.46	-0.03	10.46	10.47	19969	226	         -0.19	          1.78	10.44	10.52	10.33	10.49	    19.88	20818024	  0.77	化工原料	安徽	 1.81	
="002530"	丰东股份	-0.31	6.47	-0.02	6.47	6.48	18960	475	          0.00	          0.71	6.49	6.55	6.42	6.49	    40.27	12272954	  0.69	专用机械	江苏	 2.00	
="002060"	粤 水 电	-0.37	5.34	-0.02	5.34	5.35	114116	2224	          0.37	          1.90	5.30	5.35	5.23	5.36	    51.60	60345416	  0.67	建筑施工	广东	 2.24	
="002265"	*ST西仪	-0.50	7.89	-0.04	7.89	7.90	12458	204	          0.12	          0.44	7.82	7.95	7.77	7.93	   391.86	9802236	  0.46	汽车配件	云南	 2.27	
="002367"	康力电梯	-0.55	16.15	-0.09	16.15	16.16	33415	475	         -0.06	          1.50	16.23	16.34	15.95	16.24	    21.49	53846776	  0.40	运输设备	江苏	 2.40	
="600370"	三房巷	-0.59	5.08	-0.03	5.08	5.09	13722	139	         -0.19	          0.43	5.10	5.11	5.06	5.11	    65.21	6978322	  0.70	纺织	江苏	 0.98	
="002621"	大连三垒	-0.59	15.16	-0.09	15.16	15.20	9173	153	         -0.39	          2.45	15.25	15.35	15.15	15.25	    35.41	13965461	  0.50	专用机械	辽宁	 1.31	
="000823"	超声电子	-0.63	10.96	-0.07	10.96	10.97	117892	806	         -0.09	          2.68	11.12	11.31	10.83	11.03	    41.29	130263504	  0.73	元器件	广东	 4.35	
="000948"	南天信息	-0.71	9.73	-0.07	9.73	9.74	83769	1646	          0.62	          3.62	9.70	9.85	9.53	9.80	   253.17	81143872	  0.61	软件服务	云南	 3.27	
="300261"	雅本化学	-0.73	12.32	-0.09	12.31	12.32	8757	113	          0.16	          1.40	12.30	12.60	12.27	12.41	    67.20	10865327	  0.79	农药化肥	江苏	 2.66	
="000725"	京东方Ａ	-0.85	2.32	-0.02	2.31	2.32	819467	5830	          0.43	          0.71	2.33	2.34	2.31	2.34	    17.31	190278240	  0.64	元器件	北京	 1.28	
="600097"	开创国际	-0.88	12.43	-0.11	12.40	12.44	21004	205	          0.08	          1.82	12.55	12.60	12.30	12.54	    19.06	26039686	  0.85	渔业	上海	 2.39	
="000584"	友利控股	-0.95	11.48	-0.11	11.48	11.49	37115	525	          0.00	          0.91	11.54	11.65	11.43	11.59	    11.84	42773984	  0.80	化纤	四川	 1.90	
="002295"	精艺股份	-0.99	6.99	-0.07	6.98	6.99	33707	505	          0.00	          1.86	7.05	7.05	6.86	7.06	   413.85	23410182	  0.62	铜	广东	 2.69	
="000600"	建投能源	-1.05	5.68	-0.06	5.67	5.68	167628	1705	          0.17	          1.83	5.69	5.74	5.56	5.74	     7.65	94487488	  0.60	火力发电	河北	 3.14	
="000100"	TCL 集团	-1.11	2.67	-0.03	2.66	2.67	1448994	16750	          0.37	          1.78	2.70	2.71	2.65	2.70	    10.80	386958528	  0.86	家用电器	广东	 2.22	
="002025"	航天电器	-1.11	15.13	-0.17	15.12	15.13	66737	1063	         -0.13	          2.02	15.34	15.56	15.11	15.30	    28.85	102446680	  0.61	元器件	贵州	 2.94	
="002040"	南 京 港	-1.12	6.18	-0.07	6.17	6.18	11825	20	         -0.16	          0.48	6.26	6.30	6.14	6.25	    50.95	7360723	  0.61	港口	江苏	 2.56	
="002409"	雅克科技	-1.18	18.44	-0.22	18.40	18.44	11093	42	          0.32	          1.34	18.50	18.90	18.29	18.66	    38.98	20470398	  0.42	化工原料	江苏	 3.27	
="000023"	深天地Ａ	-1.25	9.48	-0.12	9.48	9.49	10047	181	          0.10	          0.72	9.63	9.63	9.31	9.60	    74.40	9499220	  0.71	建筑施工	深圳	 3.33	
="002685"	华东重机	-1.27	10.13	-0.13	10.13	10.14	85192	800	         -0.09	          8.56	10.21	10.67	10.05	10.26	    91.76	87735040	  2.54	工程机械	江苏	 6.04	
