代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002243"	通产丽星	10.07	7.87	0.72	7.87	--  	288840	1438	          0.00	         11.48	7.05	7.87	7.04	7.15	    47.03	221408480	  4.41	塑料	深圳	11.61	
="002180"	万 力 达	10.04	12.38	1.13	12.38	--  	3792	31	          0.00	          0.44	12.38	12.38	12.38	11.25	   399.60	4694608	  0.38	电气设备	广东	 0.00	
="002685"	华东重机	9.97	10.26	0.93	10.26	--  	55899	1834	          0.00	          5.62	9.32	10.26	9.21	9.33	    92.94	54580152	  1.99	工程机械	江苏	11.25	
="002569"	步森股份	7.53	12.56	0.88	12.56	12.57	94246	1764	          0.15	         21.41	11.60	12.75	11.46	11.68	    97.58	116456016	  2.87	服饰	浙江	11.04	
="002335"	科华恒盛	6.87	17.88	1.15	--  	--  	32240	50	         -0.05	          1.76	16.50	18.13	16.50	16.73	    37.54	56693056	  2.24	电气设备	福建	 9.74	
="300170"	汉得信息	4.38	21.93	0.92	21.92	21.93	55278	363	          0.18	          2.28	20.50	22.19	20.50	21.01	    41.91	120178552	  0.89	软件服务	上海	 8.04	
="002347"	泰尔重工	3.56	9.03	0.31	9.02	9.03	74997	1572	          0.00	          7.99	8.62	9.13	8.52	8.72	    61.17	65995044	  0.89	机械基件	安徽	 7.00	
="002509"	天广消防	3.06	10.45	0.31	10.45	10.46	61668	2107	          0.67	          2.67	10.05	10.45	10.00	10.14	    49.33	63643208	  1.56	专用机械	福建	 4.44	
="000100"	TCL 集团	3.05	2.70	0.08	2.70	2.71	2671983	19843	          0.00	          3.29	2.62	2.71	2.61	2.62	    10.92	711483584	  2.00	家用电器	广东	 3.82	
="002039"	黔源电力	2.41	11.91	0.28	11.91	11.92	15562	281	          0.08	          0.76	11.59	12.05	11.58	11.63	--  	18450822	  1.32	水力发电	贵州	 4.04	
="000584"	友利控股	2.39	11.59	0.27	11.59	11.60	64427	1989	          0.17	          1.58	11.33	11.60	11.26	11.32	    11.96	73967968	  1.53	化纤	四川	 3.00	
="002597"	金禾实业	2.34	10.49	0.24	10.48	10.49	39653	190	          0.09	          3.54	10.26	10.64	10.20	10.25	    19.94	41377552	  1.76	化工原料	安徽	 4.29	
="002060"	粤 水 电	2.29	5.36	0.12	5.35	5.36	248385	2529	         -0.18	          4.13	5.21	5.58	5.19	5.24	    51.79	134049704	  1.61	建筑施工	广东	 7.44	
="002678"	珠江钢琴	2.28	8.99	0.20	8.99	9.00	73430	1068	          0.11	          4.83	8.73	9.03	8.65	8.79	    43.75	64839944	  0.92	文教休闲	广东	 4.32	
