代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002569"	步森股份	6.57	11.68	0.72	11.68	11.69	64903	1160	         -0.17	         14.75	11.05	12.04	10.81	10.96	    90.75	74872472	  2.97	服饰	浙江	11.22	
="002282"	博深工具	4.07	9.72	0.38	9.72	9.73	152674	1385	          0.30	         13.37	9.24	10.15	9.23	9.34	    46.23	148594048	  1.67	轻工机械	河北	 9.85	
="600346"	大橡塑	4.05	8.74	0.34	8.75	8.76	68363	86	         -0.34	          3.26	8.43	8.89	8.33	8.40	   273.28	58904376	  1.15	化工机械	辽宁	 6.67	
="002130"	沃尔核材	2.85	9.03	0.25	9.02	9.03	610230	5513	          0.00	         17.61	9.00	9.13	8.71	8.78	    62.02	543823296	  2.13	电气设备	深圳	 4.78	
="002295"	精艺股份	2.01	7.11	0.14	7.10	7.11	83226	569	          0.28	          4.59	6.90	7.16	6.83	6.97	   420.96	58830640	  1.71	铜	广东	 4.73	
="600992"	贵绳股份	1.37	7.42	0.10	7.42	7.43	37422	60	         -0.40	          2.28	7.41	7.60	7.38	7.32	    92.72	28086434	  1.34	钢加工	贵州	 3.01	
="600960"	渤海活塞	1.33	8.40	0.11	8.40	8.41	30592	10	         -0.23	          1.45	8.29	8.45	8.24	8.29	    31.77	25616964	  1.47	汽车配件	山东	 2.53	
="002201"	九鼎新材	0.96	8.44	0.08	8.43	8.44	28052	733	          0.11	          1.68	8.35	8.48	8.31	8.36	   171.61	23568052	  1.23	玻璃	江苏	 2.03	
="000759"	中百集团	0.92	7.69	0.07	7.68	7.69	22464	168	          0.26	          0.33	7.62	7.79	7.59	7.62	    45.23	17361986	  0.45	超市连锁	湖北	 2.62	
="002082"	栋梁新材	0.86	8.23	0.07	8.22	8.23	21335	658	          0.00	          1.20	8.19	8.28	8.12	8.16	    20.10	17548280	  0.64	铝	浙江	 1.96	
="002636"	金安国纪	0.22	9.18	0.02	9.18	9.19	38319	1063	         -0.21	          4.30	9.17	9.23	9.08	9.16	    70.10	35116816	  0.93	元器件	上海	 1.64	
="002597"	金禾实业	0.00	10.25	0.00	10.24	10.25	23809	366	          0.09	          2.12	10.21	10.32	10.20	10.25	    19.48	24420532	  1.06	化工原料	安徽	 1.17	
="002286"	保龄宝	-0.53	18.84	-0.10	18.84	18.87	11423	91	         -0.21	          1.59	19.00	19.18	18.60	18.94	    67.54	21424870	  0.52	食品	山东	 3.06	
="002468"	艾迪西	-0.59	10.19	-0.06	10.19	10.20	152541	1859	          0.00	          5.52	10.09	10.45	9.95	10.25	   419.11	154901280	  1.08	其他建材	浙江	 4.88	
="002621"	大连三垒	-0.90	15.48	-0.14	15.48	15.49	13303	175	         -0.12	          3.55	15.63	15.79	15.47	15.62	    36.16	20729768	  0.56	专用机械	辽宁	 2.05	
="002409"	雅克科技	-1.06	18.70	-0.20	18.70	18.72	48226	260	         -0.16	          5.84	18.90	19.46	18.53	18.90	    39.53	91646504	  3.24	化工原料	江苏	 4.92	
数据来源:通达信
